year,week,rank,title,author,publisher,description
2025,2025-10-26,4,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-10-26,5,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-10-26,6,ALCHEMY OF SECRETS,Stephanie Garber,Flatiron,Holland St. James must retrieve an ancient object called the Alchemical Heart by midnight tomorrow or perish.
2025,2025-10-26,7,SHADOW TICKET,Thomas Pynchon,Penguin Press,"In 1932, the private eye Hicks McTaggart encounters a hodgepodge of characters as he pursues the heiress of a Wisconsin cheese fortune."
2025,2025-10-26,8,FOR WHOM THE BELLE TOLLS,Jaysea Lynn,Saga,Lily gets a job assigning people to appropriate circles and becomes attracted to a demon general in Hell.
2025,2025-10-26,9,MY BELOVED,Jan Karon,Putnam,"The 15th book in the Mitford series. As Christmas approaches, love and heartbreak are felt by people around town."
2025,2025-10-26,10,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders."
2025,2025-10-26,11,SHARP FORCE,Patricia Cornwell,Grand Central,The 29th book in the Kay Scarpetta series. A serial killer known as the Phantom Slasher invades homes in Northern Virginia.
2025,2025-10-26,12,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.
2025,2025-10-26,13,THE ACADEMY,Elin Hilderbrand and ShelCunningham,"Little, Brown",Harmful rumors cause trouble for the students and staff at a New England boarding school.
2025,2025-10-26,14,THE DAMNED,Harper L. Woods,Bramble,The third book in the Coven of Bones series. Beelzebub is put under a spell that makes him forbidden to touch.
2025,2025-10-26,15,ONYX STORM,Rebecca Yarros,Red Tower,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025,2025-11-02,1,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions."
2025,2025-11-02,2,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-11-02,3,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-11-02,4,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-11-02,5,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-11-02,6,RED RISING,Pierce Brown,Del Rey,"Darrow, a member of the lowest rung of a society on Mars in the future, mixes in with humanity’s overlords in the hopes of taking them down."
2025,2025-11-02,7,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-11-02,8,LIGHTS OUT,Navessa Allen,Slowburn,"As Aly and Josh live out their dark fantasies, someone with sinister intentions impinges on them."
2025,2025-11-02,9,THE PICASSO HEIST,James Patterson and Howard Roughan,"Little, Brown",A recently discovered $100 million painting piques the interest of a variety of people.
2025,2025-11-02,10,THE ACADEMY,Elin Hilderbrand and ShelCunningham,"Little, Brown",Harmful rumors cause trouble for the students and staff at a New England boarding school.
2025,2025-11-02,11,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon."
2025,2025-11-02,12,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders."
2025,2025-11-02,13,BOLEYN TRAITOR,Philippa Gregory,Morrow,Jane Boleyn employs multiple tactics to survive in the Tudor court.
2025,2025-11-02,14,CRY HAVOC,Jack Carr,Atria/Emily Bestler,"During a time of war and civil unrest in 1968, the Navy SEAL Tom Reece is given an unofficial and dangerous mission."
2025,2025-11-02,15,STAR WARS: REVENGE OF THE SITH: EPISODE III,Matthew Stover,Random House Worlds,"A novelization of the final film in George Lucas’s ""Star Wars"" prequel trilogy."
2025,2025-11-09,1,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-11-09,2,THE PROVING GROUND,Michael Connelly,"Little, Brown",The eighth book in the Lincoln Lawyer series. Mickey Haller enlists a journalist to help his lawsuit against an A.I. company.
2025,2025-11-09,3,THE THINGS GODS BREAK,Abigail Owen,Red Tower,The second book in the Crucible series. Escaping Tartarus demands overcoming trials and breaking rules.
2025,2025-11-09,4,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-11-09,5,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-11-09,6,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions."
2025,2025-11-09,7,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-11-09,8,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-11-09,9,KING SORROW,Joe Hill,Morrow,"After a college student is forced to steal rare books, his friends summon a dragon to help him, but find themselves in worse trouble."
2025,2025-11-09,10,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-11-09,11,THE CHRISTMAS RING,Karen Kingsbury,Thomas Nelson,The search for an heirloom ring is the catalyst for a military widow and an antiques dealer to become romantically involved; the basis of the movie.
2025,2025-11-09,12,THE ACADEMY,Elin Hilderbrand and ShelCunningham,"Little, Brown",Harmful rumors cause trouble for the students and staff at a New England boarding school.
2025,2025-11-09,13,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders."
2025,2025-11-09,14,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.
2025,2025-11-09,15,ONYX STORM,Rebecca Yarros,Red Tower,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025,2025-11-16,1,THE BLACK WOLF,Louise Penny,Minotaur,"The 20th book in the Chief Inspector Gamache series. After thwarting a terrorist attack, an injured Gamache leads a covert investigation."
