year,week,rank,title,author,publisher,description
2023,2023-02-19,11,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2023,2023-02-19,12,THE HOUSE IN THE PINES,Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened."
2023,2023-02-19,13,NOVEMBER 9,Colleen Hoover,Atria,Is Ben using his relationship with Fallon as fodder for his novel?
2023,2023-02-19,14,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.
2023,2023-02-19,15,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
2023,2023-02-26,1,ENCORE IN DEATH,J.D. Robb,St. Martin's,The 56th book of the In Death series. Eve Dallas investigates the mysterious death of a well-loved star of stage and screen.
2023,2023-02-26,2,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2023,2023-02-26,3,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2023,2023-02-26,4,HEART BONES,Colleen Hoover,Atria,"After an unexpected death prevents her from going to Penn State and and forces her to move in with her absent father, Beyah Grim has a summer fling with the rich guy next door."
2023,2023-02-26,5,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2023,2023-02-26,6,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
2023,2023-02-26,7,SECRETLY YOURS,Tessa Bailey,Avon,A college professor finds himself in proximity to a former high school classmate who is now tending the gardens of his family’s winery.
2023,2023-02-26,8,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
2023,2023-02-26,9,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2023,2023-02-26,10,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't."
2023,2023-02-26,11,UNNATURAL HISTORY,Jonathan Kellerman,Ballantine,The 38th book in the Alex Delaware series. Alex and Milo investigate the murder of a wealthy photographer.
2023,2023-02-26,12,RADIANT SIN,Katee Robert,Sourcebooks Casablanca,The fourth book in the Dark Olympus series. A danger emerges as things heat up between Cassandra and Apollo.
2023,2023-02-26,13,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.
2023,2023-02-26,14,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
2023,2023-02-26,15,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2023,2023-03-05,1,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2023,2023-03-05,2,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2023,2023-03-05,3,HEART BONES,Colleen Hoover,Atria,"After an unexpected death prevents her from going to Penn State and and forces her to move in with her absent father, Beyah Grim has a summer fling with the rich guy next door."
2023,2023-03-05,4,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2023,2023-03-05,5,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
2023,2023-03-05,6,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2023,2023-03-05,7,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't."
2023,2023-03-05,8,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
2023,2023-03-05,9,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
2023,2023-03-05,10,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
2023,2023-03-05,11,3 DAYS TO LIVE,James Patterson,Grand Central,"Three thrillers: “3 Days to Live,” “Women and Children First” and “The Housekeepers.”"
2023,2023-03-05,12,THE LAST ORPHAN,Gregg Hurwitz,Minotaur,The eighth book in the Orphan X series. Evan Smoak must choose between his principles or his life.
