year,week,rank,title,author,publisher,description
2016,2016-02-14,1,NYPD RED 4,James Patterson and Marshall Karp,"Little, Brown","Detective Zach Gordon and his partner, members of an elite task force that protects the rich and famous, pursue a cold-blooded killer."
2016,2016-02-14,2,SPIDER GAME,Christine Feehan,Jove,Trap shares his sidekick's desire for getting even.
2016,2016-02-14,3,THE BANDS OF MOURNING,Brandon Sanderson,Tor/Tom Doherty,"A sequel to ""Shadows of Self""; a Mistborn novel."
2016,2016-02-14,4,THE CHOICE,Nicholas Sparks,Grand Central,"When Travis meets his new neighbor, his bachelor status erodes."
2016,2016-02-14,5,MY NAME IS LUCY BARTON,Elizabeth Strout,Random House,A woman struggles with memories of her impoverished and disturbing childhood and its effect on the present as she attempts to reconcile with her mother.
2016,2016-02-14,6,BLUE,Danielle Steel,Delacorte,A woman whose life has been shattered befriends a homeless boy.
2016,2016-02-14,7,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-02-14,8,THE LAST ANNIVERSARY,Liane Moriarty,Harper Perennial,"A family home on an Australian island is bequeathed to an outsider, and the clan's conflicts come with it."
2016,2016-02-14,9,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-02-14,10,THE REVENANT,Michael Punke,Picador,"Left for dead after a mauling, a master tracker is consumed by a singular desire for revenge; an inspiration for the 2015 film."
2016,2016-02-14,11,MY AMERICAN DUCHESS,Eloisa James,Avon,An expat heiress in Regency England finds her affections shifting to her fiancé's twin.
2016,2016-02-14,12,THE BALLER,Vi Keeland,Vi Keeland,"After a locker-room interview of a Super Bowl M.V.P., a sportscaster decides to alter her dating rules."
2016,2016-02-14,13,STAKED,Kevin Hearne,Del Rey,"When his vampire nemesis heads to Rome, a Druid follows."
2016,2016-02-14,14,THE MARTIAN,Andy Weir,Crown,"Abandoned by his crew, an astronaut embarks on a dogged quest to stay alive."
2016,2016-02-14,15,TOUGH CUSTOMER,Sandra Brown,Simon & Schuster,"The private investigator Dodge Hanley heads to Texas to save a daughter he has never met, who has become the object of a stalker’s desire."
2016,2016-02-21,1,BROTHERHOOD IN DEATH,J. D. Robb,Berkley,"Lt. Eve Dallas of the N.Y.P.D. helps a friend and her husband solve a mystery involving politics and real estate; by Nora Roberts, writing pseudonymously."
2016,2016-02-21,2,BREAKDOWN,Jonathan Kellerman,Ballatine,The psychologist Alex Delaware and the L.A.P.D. Lt. Milo Sturgis search for the missing son of a psychologically fragile actress.
2016,2016-02-21,3,ME BEFORE YOU,Jojo Moyes,Penguin,"A young woman who has barely been farther afield than her English village finds herself while caring for a wealthy, embittered quadriplegic. Originally published in 2012."
2016,2016-02-21,4,THE CHOICE,Nicholas Sparks,Grand Central,"When Travis meets his new neighbor, his bachelor status erodes."
2016,2016-02-21,5,NYPD RED 4,James Patterson and Marshall Karp,"Little, Brown","Detective Zach Gordon and his partner, members of an elite task force that protects the rich and famous, pursue a cold-blooded killer."
2016,2016-02-21,6,MY NAME IS LUCY BARTON,Elizabeth Strout,Random House,A woman struggles with memories of her impoverished and disturbing childhood and its effect on the present as she attempts to reconcile with her mother.
2016,2016-02-21,7,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-02-21,8,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-02-21,9,DEPRAVED HEART,Patricia Cornwell,Morrow/HarperCollins,A psychopath sends Dr. Kay Scarpetta videos from the past about her niece in the series’s 23rd book.
2016,2016-02-21,10,BLUE,Danielle Steel,Delacorte,A woman whose life has been shattered befriends a homeless boy.
2016,2016-02-21,11,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-02-21,12,THE REVENANT,Michael Punke,Picador,"Left for dead after a mauling, a master tracker is consumed by a singular desire for revenge; an inspiration for the 2015 film."
2016,2016-02-21,13,JANUARY,Audrey Carlan,Waterhouse,Mia becomes a high-priced escort to pay off her father's gambling debts.
2016,2016-02-21,14,THE MARTIAN,Andy Weir,Crown,"Abandoned by his crew, an astronaut embarks on a dogged quest to stay alive."
2016,2016-02-21,15,WICKED SEXY LIAR,Christina Lauren,Gallery Books,"In Book 4 of the Wild Seasons series, three college friends meet three hot guys in Vegas."
2016,2016-02-28,1,MORNING STAR,Pierce Brown,Del Rey,"In Book 3 of the Red Rising trilogy, set in a dystopian future, Darrow incites a rebellion."
2016,2016-02-28,2,FIND HER,Lisa Gardner,Dutton,The detective D. D. Warren hunts for a missing woman who was kidnapped and abused as a student and may have become a vigilante.
2016,2016-02-28,3,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-02-28,4,BROTHERHOOD IN DEATH,J. D. Robb,Berkley,"Lt. Eve Dallas of the N.Y.P.D. helps a friend and her husband solve a mystery involving politics and real estate; by Nora Roberts, writing pseudonymously."
2016,2016-02-28,5,NYPD RED 4,James Patterson and Marshall Karp,"Little, Brown",Detective Zach Gordon and his partner pursue a cold-blooded killer.
2016,2016-02-28,6,THE CHOICE,Nicholas Sparks,Grand Central,"When Travis meets his new neighbor, his bachelor status erodes."
2016,2016-02-28,7,BREAKDOWN,Jonathan Kellerman,Ballatine,The psychologist Alex Delaware and the L.A.P.D. Lt. Milo Sturgis search for the missing son of a fragile actress.
2016,2016-02-28,8,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-02-28,9,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-02-28,10,THE WOLVES,Alex Berenson,Putnam,"The former C.I.A. agent John Wells sets out to kill the American billionaire who tried to trick the United States into invading Iran (in “Twelve Days”), but the Russians and Chinese become involved."
2016,2016-02-28,11,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-02-28,12,MY NAME IS LUCY BARTON,Elizabeth Strout,Random House,A woman struggles with memories of her impoverished and disturbing childhood and its effect on the present as she attempts to reconcile with her mother.
2016,2016-02-28,13,THE MARTIAN,Andy Weir,Crown,"Abandoned by his crew, an astronaut embarks on a dogged quest to stay alive."
2016,2016-02-28,14,THE REVENANT,Michael Punke,Picador,"Left for dead after a mauling, a master tracker is consumed by a singular desire for revenge; an inspiration for the 2015 film."
2016,2016-02-28,15,A TASTE FOR DEATH,P. D. James,Vintage,Comdr. Adam Dalgliesh investigates a double murder.
2016,2016-03-06,1,COMETH THE HOUR,Jeffrey Archer,St. Martin's,The sixth and penultimate book of the Clifton Chronicles brings the Cliftons and the Barringtons into the 1970s.
2016,2016-03-06,2,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-03-06,3,ROOMHATE,Penelope Ward,Penelope Ward,A woman must share an inherited house with the man she dumped long ago.
2016,2016-03-06,4,FIND HER,Lisa Gardner,Dutton,The detective D.  D. Warren hunts for a missing woman who was kidnapped and abused as a student and may have become a vigilante.
2016,2016-03-06,5,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-03-06,6,NYPD RED 4,James Patterson and Marshall Karp,"Little, Brown",Detective Zach Jordan and his partner pursue a cold-blooded killer.
2016,2016-03-06,7,BROTHERHOOD IN DEATH,J. D. Robb,Berkley,"Lt. Eve Dallas of the N.Y.P.D. helps a friend and her husband solve a mystery involving politics and real estate; by Nora Roberts, writing pseudonymously."
2016,2016-03-06,8,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-03-06,9,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-03-06,10,THE NEXT ALWAYS,Nora Roberts,Jove,A historic hotel in Maryland is getting a face-lift from the Montgomery brothers and their eccentric mother; Book 1 of the Inn BoonsBoro trilogy.
2016,2016-03-06,11,THE LIE,Karina Halle,Metal Blonde,Brigs and Natasha each look to turn from their tragic pasts with a fresh start in London.
2016,2016-03-06,12,THE WIDOW,Fiona Barton,New American Library,"When a suspect in a missing-child case dies, reporters and the police think they’ll get the real story from his widow. They’re wrong."
2016,2016-03-06,13,THE MARTIAN,Andy Weir,Crown,"Abandoned by his crew, an astronaut embarks on a dogged quest to stay alive."
2016,2016-03-06,14,THE CHOICE,Nicholas Sparks,Grand Central,"When Travis meets his new neighbor, his bachelor status erodes."
2016,2016-03-06,15,11/22/63,Stephen King,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment is to stop Lee Harvey Oswald.
2016,2016-03-13,1,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-03-13,2,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,Knopf,Mikael Blomkvist and Lisbeth Salander are back in this continuation of Steig Larsson's Millennium series.
2016,2016-03-13,3,A GIRL'S GUIDE TO MOVING ON,Debbie Macomber,Ballantine,A mother and her daughter-in-law both leave unhappy marriages and take up with new men.
2016,2016-03-13,4,RUNAWAY VAMPIRE,Lynsay Sands,Avon,Mary becomes embroiled in Dante's search for his twin after running him over with her R.V.
2016,2016-03-13,5,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-03-13,6,THE WEDDING DRESS,Rachel Hauck,Thomas Nelson,"With her own wedding approaching, Charlotte pieces together the history of a vintage gown she finds."
2016,2016-03-13,7,COMETH THE HOUR,Jeffrey Archer,St. Martin's,The sixth and penultimate book of the Clifton Chronicles brings the Cliftons and the Barringtons into the 1970s.
2016,2016-03-13,8,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-03-13,9,GIRL MISSING,Tess Gerritsen,Ballantine,"The medical examiner Kat Novak fears that a serial killer is stalking the streets, and one of the town’s most prominent citizens is her chief suspect; previously published as ""Peggy Sue Got Murdered."""
2016,2016-03-13,10,ROOMHATE,Penelope Ward,Penelope Ward,A woman must share an inherited house with the man she dumped long ago.
2016,2016-03-13,11,WEDDING CAKE MURDER,Joanne Fluke,Kensington,"The Lake Eden, Minn., baker Hannah Swensen is about to get married, but first she must solve the murder of a visiting celebrity chef. Recipes included."
2016,2016-03-13,12,FIGHTING DIRTY,Lori Foster,HQN,Armie must balance his budding career as an M.M.A. fighter with his growing feelings for his best friend's sister.
2016,2016-03-13,13,FIND HER,Lisa Gardner,Dutton,The detective D.  D. Warren hunts for a missing woman who was kidnapped and abused as a student and may have become a vigilante.
2016,2016-03-13,14,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-03-13,15,THE WIDOW,Fiona Barton,New American Library,"When a suspect in a missing-child case dies, reporters and the police think they’ll get the real story from his widow. They’re wrong."
2016,2016-03-20,1,THE GANGSTER,Clive Cussler and Justin Scott,Putnam,"In the ninth book in this series, set in 1906, the New York detective Isaac Bell contends with a crime boss passing as a respectable businessman and a tycoon’s plot against President Theodore Roosevelt."
2016,2016-03-20,2,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-03-20,3,ROOM,Emma Donoghue,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.
2016,2016-03-20,4,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-03-20,5,THE WEDDING DRESS,Rachel Hauck,Thomas Nelson,"With her own wedding approaching, Charlotte pieces together the history of a vintage gown she finds."
2016,2016-03-20,6,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-03-20,7,KEEP QUIET,Lisa Scottoline,St. Martin's,A father hides a terrible secret to protect his son.
2016,2016-03-20,8,THE KITCHEN HOUSE,Kathleen Grissom,Touchstone,An Irish orphan is integrated into a slave family on a Virginia plantation.
2016,2016-03-20,9,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-03-20,10,THE LIAR,Nora Roberts,Putnam,A woman returning to her hometown discovers that her husband was a fraud who implicated her in his deceptions.
2016,2016-03-20,11,FIND HER,Lisa Gardner,Dutton,The detective D.  D. Warren hunts for a missing woman who was kidnapped and abused as a student and may have become a vigilante.
2016,2016-03-20,12,MEMORY MAN,David Baldacci,Grand Central,A police detective who left the force when his family was murdered teams up with his former partner to solve the case.
2016,2016-03-20,13,THE REVENANT,Michael Punke,Picador,"Left for dead after a mauling, a master tracker is consumed by a singular desire for revenge; an inspiration for the 2015 film."
2016,2016-03-20,14,THE MARTIAN,Andy Weir,Crown,"Abandoned by his crew, an astronaut embarks on a dogged quest to stay alive."
2016,2016-03-20,15,BROOKLYN,Colm Toibin,Scribner,An unsophisticated young Irishwoman leaves her home for New York in the 1950s. The basis of the movie.
2016,2016-03-27,1,FIRE TOUCHED,Patricia Briggs,Ace,"The shape-shifter Mercy Thompson and her Alpha werewolf mate, Adam, protect a stolen human child."
2016,2016-03-27,2,OFF THE GRID,C. J. Box,Putnam,The 16th Joe Pickett novel features Nate Romanowski and a search for a domestic terror cell.
2016,2016-03-27,3,THE STEEL KISS,Jeffery Deaver,Grand Central,"Lincoln Rhyme and his new assistant, also a paraplegic, investigate a domestic terrorist who sabotages equipment."
2016,2016-03-27,4,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-03-27,5,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-03-27,6,ROCK WITH WINGS,Anne Hillerman,Harper,Husband-and-wife police officers Chee and Bernie have their hands full with a woman's disappearance and new threats to Navajo lands.
2016,2016-03-27,7,THE DROP,Michael Connelly,"Little, Brown",Harry Bosch of the L.A.P.D. uncovers both the operations of a sadistic killer and a political conspiracy.
2016,2016-03-27,8,THE WATERS OF ETERNAL YOUTH,Donna Leon,Atlantic Monthly,Commissario Guido Brunetti is asked to investigate the “accidental” near-drowning of a girl 15 years ago; the 25th novel in the series.
2016,2016-03-27,9,THE LIAR,Nora Roberts,Putnam,A woman returning to her hometown discovers that her husband was a fraud who implicated her in his deceptions.
2016,2016-03-27,10,CLAWBACK,J. A. Jance,Touchstone,"In the 11th Ali Reynolds novel, Ali and her husband work to clear her father’s name when he is accused of murdering the financial adviser who steered him wrong."
2016,2016-03-27,11,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-03-27,12,THE WEDDING DRESS,Rachel Hauck,Thomas Nelson,"With her own wedding approaching, Charlotte pieces together the history of a vintage gown she finds."
2016,2016-03-27,13,MARKED IN FLESH,Anne Bishop,Roc,An uneasy alliance between humans and the Others is pushed to the breaking point.
2016,2016-03-27,14,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-03-27,15,THE GANGSTER,Clive Cussler and Justin Scott,Putnam,"In the ninth book in this series, set in 1906, the New York detective Isaac Bell contends with a crime boss passing as a respectable businessman and a tycoon’s plot against President Theodore Roosevelt."
2016,2016-04-03,1,PRIVATE PARIS,James Patterson and Mark Sullivan,"Little, Brown","Jack Morgan, the head of the Private global investigative agency, probes the murders of members of the French cultural elite."
2016,2016-04-03,2,PROPERTY OF A NOBLEWOMAN,Danielle Steel,Delacorte,Two New Yorkers searching for the owner of an abandoned safe-deposit box reconstruct the history of a young woman and a forbidden love affair at the time of World War II.
2016,2016-04-03,3,DARK PROMISES,Christine Feehan,Berkley,A Carpathian novel; the 29th book in the Dark series.
2016,2016-04-03,4,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-04-03,5,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-04-03,6,PLAYING THE ODDS,Nora Roberts,InterMix,Serena conceals her privileged upbringing by taking a job as a blackjack dealer on a cruise ship.
2016,2016-04-03,7,THE WEDDING DRESS,Rachel Hauck,Thomas Nelson,"With her own wedding approaching, Charlotte pieces together the history of a vintage gown she finds."
2016,2016-04-03,8,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-04-03,9,OFF THE GRID,C. J. Box,Putnam,The 16th Joe Pickett novel features Nate Romanowski and a search for a domestic terror cell.
2016,2016-04-03,10,HAWKE,Sawyer Bennett,Loveswept,A hockey defenseman and a reformed partier reunite seven years after their relationship foundered.
2016,2016-04-03,11,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-04-03,12,THE LIAR,Nora Roberts,Putnam,A woman returning to her hometown discovers that her husband was a fraud who implicated her in his deceptions.
2016,2016-04-03,13,DEEP BLUE,Randy Wayne White,Putnam,"Doc Ford, a Florida marine biologist and former government agent, tracks an American who is working with ISIS."
2016,2016-04-03,14,THE GANGSTER,Clive Cussler and Justin Scott,Putnam,"In the ninth book in this series, set in 1906, the New York detective Isaac Bell contends with a crime boss passing as a respectable businessman and a tycoon’s plot against Theodore Roosevelt."
2016,2016-04-03,15,THE STEEL KISS,Jeffery Deaver,Grand Central,"Lincoln Rhyme and his new assistant, also a paraplegic, investigate a domestic terrorist who sabotages equipment."
2016,2016-04-10,1,FOOL ME ONCE,Harlan Coben,Dutton,A retired Army helicopter pilot faces combat-related nightmares and mysteries concerning the deaths of her husband and sister.
2016,2016-04-10,2,PRIVATE PARIS,James Patterson and Mark Sullivan,"Little, Brown","Jack Morgan, the head of the Private global investigative agency, probes the murders of members of the French cultural elite."
2016,2016-04-10,3,THE NEST,Cynthia D'Aprix Sweeney,Ecco/HarperCollins,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.
2016,2016-04-10,4,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-04-10,5,PROPERTY OF A NOBLEWOMAN,Danielle Steel,Delacorte,Two New Yorkers searching for the owner of an abandoned safe-deposit box reconstruct the history of a young woman and a forbidden love affair at the time of World War II.
2016,2016-04-10,6,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-04-10,7,THE SUMMER BEFORE THE WAR,Helen Simonson,Random House,"Life in Sussex, England, at the beginning of World War I."
2016,2016-04-10,8,THE GUILTY,David Baldacci,Grand Central,The government hit man Will Robie investigates murder charges against his estranged father in their Mississippi hometown.
2016,2016-04-10,9,THE WEDDING DRESS,Rachel Hauck,Thomas Nelson,"With her own wedding approaching, Charlotte pieces together the history of a vintage gown she finds."
2016,2016-04-10,10,THE WEDDING,Nicholas Sparks,Grand Central,A regretful careerist seeks to make amends.
2016,2016-04-10,11,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.
2016,2016-04-10,12,THE THIRD GATE,Lincoln Child,Anchor,"Professor Jeremy Logan, an “enigmalogist,” is called to Egypt to help make sense of peculiar happenings at a pharaoh’s newly discovered tomb."
2016,2016-04-10,13,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
2016,2016-04-10,14,THE LIAR,Nora Roberts,Putnam,A woman returning to her hometown discovers that her husband was a fraud who implicated her in his deceptions.
2016,2016-04-10,15,OFF THE GRID,C. J. Box,Putnam,The 16th Joe Pickett novel features Nate Romanowski and a search for a domestic terror cell.
2016,2016-04-17,1,FOOL ME ONCE,Harlan Coben,Dutton,A retired Army helicopter pilot faces combat-related nightmares and mysteries concerning the deaths of her husband and sister.
2016,2016-04-17,2,BECAUSE OF MISS BRIDGERTON,Julia Quinn,Avon,"Billie finds that, despite herself, she's drifting toward the arrogant George."
2016,2016-04-17,3,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-04-17,4,THE NEST,Cynthia D'Aprix Sweeney,Ecco/HarperCollins,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.
2016,2016-04-17,5,JOURNEY TO MUNICH,Jacqueline Winspear,Harper/HarperCollins,"In 1938, the psychologist Maisie Dobbs travels to Germany to impersonate the daughter of a prisoner."
2016,2016-04-17,6,PRIVATE PARIS,James Patterson and Mark Sullivan,"Little, Brown","Jack Morgan, the head of the Private global investigative agency, probes the murders of members of the French cultural elite."
2016,2016-04-17,7,MAKE ME,Lee Child,Delacorte,Jack Reacher pries open a missing-persons case that takes him across the country and into the shadowy reaches of the Internet.
2016,2016-04-17,8,PARTNERS,John Grisham,Doubleday,"The defense attorney Sebastian Rudd develops a close working relationship with his bodyguard and sidekick, Partner. A standalone digital short-story prequel to ""Rogue Lawyer."""
2016,2016-04-17,9,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-04-17,10,ONCE A RANCHER,Linda Lael Miller,HQN,A troubled teenager helps bring together his harried guardian and a filmmaker who has returned to the family ranch.
2016,2016-04-17,11,NOBODY BUT YOU,Jill Shalvis,Grand Central,"After a disastrous mission, a soldier heads to a lakeside cabin where a wayward woman has docked her boat."
2016,2016-04-17,12,DADDY'S GIRL,Lisa Scottoline,HarperCollins,A law professor caught in a prison riot must defend herself when she is unjustly accused of murder.
2016,2016-04-17,13,LOGAN KADE,Tijan,Tijan,Taylor sees the stress and struggle that give rise to Logan's rebellious behavior.
2016,2016-04-17,14,A BRUSH OF WINGS,Karen Kingsbury,Howard Books,A baseball player intercedes when an ailing orphanage worker in Uganda needs a transplant.
2016,2016-04-17,15,THE GUILTY,David Baldacci,Grand Central,The government hit man Will Robie investigates murder charges against his estranged father in their Mississippi hometown.
2016,2016-04-24,1,ONE WITH YOU,Sylvia Day,St. Martin's Griffin,The chronicle of a tempestuous marriage comes to a close.
2016,2016-04-24,2,THE BEAST,J. R. Ward,New American Library,Book 14 of the Black Dagger Brotherhood series.
2016,2016-04-24,3,AS TIME GOES BY,Mary Higgins Clark,Simon & Schuster,Secrets emerge when a television journalist searching for her birth mother covers the trial of the widow of a wealthy doctor.
2016,2016-04-24,4,FOOL ME ONCE,Harlan Coben,Dutton,A retired Army helicopter pilot faces combat-related nightmares and mysteries concerning the deaths of her husband and sister.
2016,2016-04-24,5,FAMILY JEWELS,Stuart Woods,Putnam,"In the 37th Stone Barrington novel, the lawyer becomes entangled in a mystery involving a wealthy divorcee’s ex-husband."
2016,2016-04-24,6,THE 14TH COLONY,Steve Berry,Minotaur,The covert operative Cotton Malone must thwart an agent loyal to the former Soviet Union.
2016,2016-04-24,7,THE NEST,Cynthia D'Aprix Sweeney,Ecco/HarperCollins,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.
2016,2016-04-24,8,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-04-24,9,VIRGINS,Diana Gabaldon,Dell,A mercenary escorts a doctor's daughter to Paris.
2016,2016-04-24,10,FINDING JAKE,Bryan Reardon,Morrow/HarperCollins,A father discovers his son is suspected in a school shooting.
2016,2016-04-24,11,MAKE ME,Lee Child,Delacorte,Jack Reacher pries open a missing-persons case that takes him across the country and into the shadowy reaches of the Internet.
2016,2016-04-24,12,MILLER'S VALLEY,Anna Quindlen,Random House,A young woman comes of age as her farm family's way of life is threatened.
2016,2016-04-24,13,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-04-24,14,WHAT WE FIND,Robyn Carr,Harlequin,A neurosurgeon checks out of the rat race and finds comfort with a mysterious hiker.
2016,2016-04-24,15,PRIVATE PARIS,James Patterson and Mark Sullivan,"Little, Brown","Jack Morgan, the head of the Private global investigative agency, probes the murders of members of the French cultural elite."
2016,2016-05-01,1,THE OBSESSION,Nora Roberts,Berkley,A woman is haunted by her father’s crimes as she tries to pursue love and her work as a photographer.
2016,2016-05-01,2,ONE WITH YOU,Sylvia Day,St. Martin's Griffin,The chronicle of a tempestuous marriage comes to a close.
2016,2016-05-01,3,STUCK-UP SUIT,Vi Keeland and Penelope Ward,EverAfter Romance,"An arrogant businessman's phone, lost on a commuter train, leads to an unexpected affair."
2016,2016-05-01,4,FOOL ME ONCE,Harlan Coben,Dutton,A retired Army helicopter pilot faces combat-related nightmares and mysteries concerning the deaths of her husband and sister.
2016,2016-05-01,5,ME BEFORE YOU,Jojo Moyes,Penguin,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016,2016-05-01,6,THE NEST,Cynthia D'Aprix Sweeney,Ecco/HarperCollins,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.
2016,2016-05-01,7,MOST WANTED,Lisa Scottoline,St. Martin's,A woman discovers that her sperm donor is a murderer.
2016,2016-05-01,8,NOW THAT I'VE FOUND YOU,Bella Andre,Oak Press,An artist breaks his rule of never painting women when he meets a reality TV star.
2016,2016-05-01,9,AS TIME GOES BY,Mary Higgins Clark,Simon & Schuster,Secrets emerge when a television journalist searching for her birth mother covers the trial of the widow of a wealthy doctor.
2016,2016-05-01,10,THE NIGHTINGALE,Kristin Hannah,St. Martin's,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
2016,2016-05-01,11,MAKE ME,Lee Child,Delacorte,Jack Reacher pries open a missing-persons case that takes him across the country and into the shadowy reaches of the Internet.
2016,2016-05-01,12,THE MURDER HOUSE,James Patterson and David Ellis,"Little, Brown","When bodies are found at a Hamptons estate where a series of grisly murders once occurred, a local detective and former New York City cop investigates."
2016,2016-05-01,13,THE PLAYER,Kresley Cole,Valkyrie Press,A grifter weds a man with a shadowy past in the third installment of the Game Maker series.
2016,2016-05-01,14,THE 14TH COLONY,Steve Berry,Minotaur,The covert operative Cotton Malone must thwart an agent loyal to the former Soviet Union.
2016,2016-05-01,15,LISTEN TO ME,Kristen Proby,Morrow/HarperCollins,Everything changes for a restaurateur when a former rock star walks into her Portland hotspot.
2016,2016-05-08,1,THE LAST MILE,David Baldacci,Grand Central,"In a sequel to “Memory Man,” Amos Decker, a detective with an extraordinary memory, investigates the case of a convicted killer who wins a last-minute reprieve."
2016,2016-05-08,2,THE OBSESSION,Nora Roberts,Berkley,A woman is haunted by her father’s crimes as she tries to pursue love and her work as a photographer.
2016,2016-05-08,3,STUCK-UP SUIT,Vi Keeland and Penelope Ward,EverAfter Romance,"An arrogant businessman's phone, lost on a commuter train, leads to an unexpected affair."
2016,2016-05-08,4,BOUNTY,Kristen Ashley,Kristen Ashley,"A grieving woman heads to Colorado, where a biker fatuously attempts to resist her."
