year,week,rank,title,author
2012,2012-08-05,14,BACKFIRE,Catherine Coulter
2012,2012-08-05,15,THE LITIGATORS,John Grisham
2012,2012-08-12,1,FIFTY SHADES OF GREY,E. L. James
2012,2012-08-12,2,FIFTY SHADES DARKER,E. L. James
2012,2012-08-12,3,FIFTY SHADES FREED,E. L. James
2012,2012-08-12,4,GONE GIRL,Gillian Flynn
2012,2012-08-12,5,WHERE WE BELONG,Emily Giffin
2012,2012-08-12,6,FRIENDS FOREVER,Danielle Steel
2012,2012-08-12,7,BLACK LIST,Brad Thor
2012,2012-08-12,8,BARED TO YOU,Sylvia Day
2012,2012-08-12,9,DEEP DOWN,Lee Child
2012,2012-08-12,10,BROKEN HARBOR,Tana French
2012,2012-08-12,11,THE FALLEN ANGEL,Daniel Silva
2012,2012-08-12,12,"I, MICHAEL BENNETT",James Patterson and Michael Ledwidge
2012,2012-08-12,13,SLAMMED,Colleen Hoover
2012,2012-08-12,14,JUDGMENT CALL,J. A. Jance
2012,2012-08-12,15,SHADOW OF NIGHT,Deborah Harkness
2012,2012-08-19,1,FIFTY SHADES OF GREY,E. L. James
2012,2012-08-19,2,FIFTY SHADES DARKER,E. L. James
2012,2012-08-19,3,FIFTY SHADES FREED,E. L. James
2012,2012-08-19,4,GONE GIRL,Gillian Flynn
2012,2012-08-19,5,ODD APOCALYPSE,Dean Koontz
2012,2012-08-19,6,BARED TO YOU,Sylvia Day
2012,2012-08-19,7,WHERE WE BELONG,Emily Giffin
2012,2012-08-19,8,ALL SUMMER LONG,Susan Mallery
2012,2012-08-19,9,BIG SKY MOUNTAIN,Linda Lael Miller
2012,2012-08-19,10,FRIENDS FOREVER,Danielle Steel
2012,2012-08-19,11,SLAMMED,Colleen Hoover
2012,2012-08-19,12,BLACK LIST,Brad Thor
2012,2012-08-19,13,THE LIGHT BETWEEN OCEANS,M. L. Stedman
2012,2012-08-19,14,DEEP DOWN,Lee Child
2012,2012-08-19,15,"I, MICHAEL BENNETT",James Patterson and Michael Ledwidge
2012,2012-08-26,1,FIFTY SHADES OF GREY,E. L. James
2012,2012-08-26,2,FIFTY SHADES DARKER,E. L. James
2012,2012-08-26,3,FIFTY SHADES FREED,E. L. James
2012,2012-08-26,4,GONE GIRL,Gillian Flynn
2012,2012-08-26,5,BARED TO YOU,Sylvia Day
2012,2012-08-26,6,SWEET TALK,Julie Garwood
2012,2012-08-26,7,WHERE WE BELONG,Emily Giffin
2012,2012-08-26,8,STYGIAN'S HONOR,Lora Leigh
2012,2012-08-26,9,TIME UNTIME,Sherrilyn Kenyon
2012,2012-08-26,10,SLAMMED,Colleen Hoover
2012,2012-08-26,11,BLACK LIST,Brad Thor
2012,2012-08-26,12,THE LIGHT BETWEEN OCEANS,M. L. Stedman
2012,2012-08-26,13,DREAM LAKE,Lisa Kleypas
2012,2012-08-26,14,YOU DON’T WANT TO KNOW,Lisa Jackson
2012,2012-08-26,15,"I, MICHAEL BENNETT",James Patterson and Michael Ledwidge
2012,2012-09-02,1,FIFTY SHADES OF GREY,E. L. James
2012,2012-09-02,2,FIFTY SHADES DARKER,E. L. James
2012,2012-09-02,3,FIFTY SHADES FREED,E. L. James
2012,2012-09-02,4,GONE GIRL,Gillian Flynn
2012,2012-09-02,5,THE INN AT ROSE HARBOR,Debbie Macomber
2012,2012-09-02,6,BARED TO YOU,Sylvia Day
2012,2012-09-02,7,WHERE WE BELONG,Emily Giffin
2012,2012-09-02,8,THE KINGMAKER’S DAUGHTER,Philippa Gregory
2012,2012-09-02,9,BLACK LIST,Brad Thor
2012,2012-09-02,10,THIS IS WHERE I LEAVE YOU,Jonathan Tropper
2012,2012-09-02,11,THE LIGHT BETWEEN OCEANS,M. L. Stedman
2012,2012-09-02,12,THE BEST OF ME,Nicholas Sparks
2012,2012-09-02,13,BEAUTIFUL DISASTER,Jamie McGuire
2012,2012-09-02,14,SEDUCING CINDERELLA,Gina L. Maxwell
2012,2012-09-02,15,THE MARRIAGE BARGAIN,Jennifer Probst
2012,2012-09-09,1,FIFTY SHADES OF GREY,E. L. James
2012,2012-09-09,2,FIFTY SHADES DARKER,E. L. James
2012,2012-09-09,3,FIFTY SHADES FREED,E. L. James
2012,2012-09-09,4,GONE GIRL,Gillian Flynn
2012,2012-09-09,5,BARED TO YOU,Sylvia Day
2012,2012-09-09,6,THE INN AT ROSE HARBOR,Debbie Macomber
2012,2012-09-09,7,WHERE WE BELONG,Emily Giffin
2012,2012-09-09,8,THE LIGHT BETWEEN OCEANS,M. L. Stedman
2012,2012-09-09,9,BLACK LIST,Brad Thor
2012,2012-09-09,10,THE BOY IN THE SUITCASE,Lene Kaaberbol
2012,2012-09-09,11,BEAUTIFUL DISASTER,Jamie McGuire
2012,2012-09-09,12,FIFTY SHADES TRILOGY,E. L. James
2012,2012-09-09,13,SEDUCING CINDERELLA,Gina L. Maxwell
2012,2012-09-09,14,WARDS OF FAERIE,Terry Brooks
2012,2012-09-09,15,"WRONG BED, RIGHT GUY",Katee Robert
2012,2012-09-16,1,FIFTY SHADES OF GREY,E. L. James
2012,2012-09-16,2,FIFTY SHADES DARKER,E. L. James
2012,2012-09-16,3,FIFTY SHADES FREED,E. L. James
2012,2012-09-16,4,GONE GIRL,Gillian Flynn
2012,2012-09-16,5,LAST TO DIE,Tess Gerritsen
2012,2012-09-16,6,BARED TO YOU,Sylvia Day
2012,2012-09-16,7,BONES ARE FOREVER,Kathy Reichs
2012,2012-09-16,8,THE BEAUTIFUL MYSTERY,Louise Penny
2012,2012-09-16,9,THE UGLY DUCHESS,Eloisa James
2012,2012-09-16,10,OBSIDIAN,Laurann Dohner
2012,2012-09-16,11,THE LIGHT BETWEEN OCEANS,M. L. Stedman
2012,2012-09-16,12,THE BOY IN THE SUITCASE,Lene Kaaberbol
2012,2012-09-16,13,WHERE WE BELONG,Emily Giffin
2012,2012-09-16,14,THE INN AT ROSE HARBOR,Debbie Macomber
2012,2012-09-16,15,WHERE AZALEAS BLOOM,Sherryl Woods
2012,2012-09-23,1,FIFTY SHADES OF GREY,E. L. James
2012,2012-09-23,2,FIFTY SHADES FREED,E. L. James
2012,2012-09-23,3,FIFTY SHADES DARKER,E. L. James
2012,2012-09-23,4,ZOO,James Patterson and Michael Ledwidge
2012,2012-09-23,5,GONE GIRL,Gillian Flynn
2012,2012-09-23,6,THE TIME KEEPER,Mitch Albom
2012,2012-09-23,7,BARED TO YOU,Sylvia Day
2012,2012-09-23,8,THE TOMBS,Clive Cussler and Thomas Perry
2012,2012-09-23,9,THE LOST NIGHT,Jayne Castle
2012,2012-09-23,10,THE LIGHT BETWEEN OCEANS,M. L. Stedman
2012,2012-09-23,11,LAST TO DIE,Tess Gerritsen
2012,2012-09-23,12,GABRIEL’S INFERNO,Sylvain Reynard
2012,2012-09-23,13,"WRONG BED, RIGHT GUY",Katee Robert
2012,2012-09-23,14,THE INN AT ROSE HARBOR,Debbie Macomber
2012,2012-09-23,15,"BECAUSE YOU ARE MINE, PART VI", Beth Kery
2012,2012-09-30,1,A WANTED MAN,Lee Child
2012,2012-09-30,2,FIFTY SHADES OF GREY,E. L. James
2012,2012-09-30,3,DELUSION IN DEATH,J. D. Robb
2012,2012-09-30,4,FIFTY SHADES FREED,E. L. James
2012,2012-09-30,5,FIFTY SHADES DARKER,E. L. James
2012,2012-09-30,6,GONE GIRL,Gillian Flynn
2012,2012-09-30,7,FROZEN HEAT,Richard Castle
2012,2012-09-30,8,THE TIME KEEPER,Mitch Albom
2012,2012-09-30,9,ZOO,James Patterson and Michael Ledwidge
2012,2012-09-30,10,BARED TO YOU,Sylvia Day
2012,2012-09-30,11,TELEGRAPH AVENUE,Michael Chabon
2012,2012-09-30,12,SIMPLY IRRESISTIBLE,Jill Shalvis
2012,2012-09-30,13,LOVE UNREHEARSED,Tina Reber
2012,2012-09-30,14,WINTER'S TALE,Mark Helprin
2012,2012-09-30,15,THIS IS HOW YOU LOSE HER,Junot Díaz
2012,2012-10-07,1,WINTER OF THE WORLD,Ken Follett
2012,2012-10-07,2,FIFTY SHADES OF GREY,E. L. James
2012,2012-10-07,3,FIFTY SHADES DARKER,E. L. James
2012,2012-10-07,4,FIFTY SHADES FREED,E. L. James
2012,2012-10-07,5,GONE GIRL,Gillian Flynn
2012,2012-10-07,6,A WANTED MAN,Lee Child
2012,2012-10-07,7,LOW PRESSURE,Sandra Brown
2012,2012-10-07,8,SEVERE CLEAR,Stuart Woods
2012,2012-10-07,9,THE TIME KEEPER,Mitch Albom
2012,2012-10-07,10,BARED TO YOU,Sylvia Day
2012,2012-10-07,11,FALL OF GIANTS,Ken Follett
2012,2012-10-07,12,ZOO,James Patterson and Michael Ledwidge
2012,2012-10-07,13,DELUSION IN DEATH,J. D. Robb
2012,2012-10-07,14,"BECAUSE YOU ARE MINE, PART VIII",Beth Kery
2012,2012-10-07,15,SIMPLY IRRESISTIBLE,Jill Shalvis
2012,2012-10-14,1,THE CASUAL VACANCY,J. K. Rowling
2012,2012-10-14,2,FIFTY SHADES OF GREY,E. L. James
2012,2012-10-14,3,FIFTY SHADES DARKER,E. L. James
2012,2012-10-14,4,FIFTY SHADES FREED,E. L. James
2012,2012-10-14,5,GONE GIRL,Gillian Flynn
2012,2012-10-14,6,WINTER OF THE WORLD,Ken Follett
2012,2012-10-14,7,A WANTED MAN,Lee Child
2012,2012-10-14,8,BARED TO YOU,Sylvia Day
2012,2012-10-14,9,THE TIME KEEPER,Mitch Albom
2012,2012-10-14,10,RAPTURE,J.R. Ward
2012,2012-10-14,11,ZOO,James Patterson and Michael Ledwidge
2012,2012-10-14,12,LOW PRESSURE,Sandra Brown
2012,2012-10-14,13,A FOOL'S GOLD CHRISTMAS,Susan Mallery
2012,2012-10-14,14,FALL OF GIANTS,Ken Follett
2012,2012-10-14,15,SOMETHING WITCHY THIS WAY COMES,H. P. Mallory
2012,2012-10-21,1,REFLECTED IN YOU,Sylvia Day
2012,2012-10-21,2,THE CASUAL VACANCY,J. K. Rowling
2012,2012-10-21,3,MAD RIVER,John Sandford
2012,2012-10-21,4,FIFTY SHADES OF GREY,E. L. James
2012,2012-10-21,5,FIFTY SHADES DARKER,E. L. James
2012,2012-10-21,6,FIFTY SHADES FREED,E. L. James
2012,2012-10-21,7,GONE GIRL,Gillian Flynn
2012,2012-10-21,8,WINTER OF THE WORLD,Ken Follett
2012,2012-10-21,9,DARK STORM,Christine Feehan
2012,2012-10-21,10,BARED TO YOU,Sylvia Day
2012,2012-10-21,11,A WANTED MAN,Lee Child
2012,2012-10-21,12,DOWN TO YOU,M. Leighton
2012,2012-10-21,13,LIVE BY NIGHT,Dennis Lehane
2012,2012-10-21,14,PHANTOM,Jo Nesbo
2012,2012-10-21,15,WOOL OMNIBUS EDITION,Hugh Howey
2012,2012-10-28,1,REFLECTED IN YOU,Sylvia Day
2012,2012-10-28,2,THE CASUAL VACANCY,J. K. Rowling
2012,2012-10-28,3,FIFTY SHADES OF GREY,E. L. James
2012,2012-10-28,4,MAD RIVER,John Sandford
2012,2012-10-28,5,FIFTY SHADES DARKER,E. L. James
2012,2012-10-28,6,FIFTY SHADES FREED,E. L. James
2012,2012-10-28,7,GONE GIRL,Gillian Flynn
2012,2012-10-28,8,NYPD RED,James Patterson and Marshall Karp
2012,2012-10-28,9,BARED TO YOU,Sylvia Day
2012,2012-10-28,10,WINTER OF THE WORLD,Ken Follett
2012,2012-10-28,11,A WANTED MAN,Lee Child
2012,2012-10-28,12,DOWN TO YOU,M. Leighton
2012,2012-10-28,13,WOOL OMNIBUS EDITION,Hugh Howey
2012,2012-10-28,14,CLOUD ATLAS,David Mitchell
2012,2012-10-28,15,DARK STORM,Christine Feehan
2012,2012-11-04,1,THE BONE BED,Patricia Cornwell
2012,2012-11-04,2,THE PANTHER,Nelson DeMille
2012,2012-11-04,3,THE TWELVE,Justin Cronin
2012,2012-11-04,4,FIFTY SHADES OF GREY,E. L. James
2012,2012-11-04,5,THE CASUAL VACANCY,J. K. Rowling
2012,2012-11-04,6,FIFTY SHADES FREED,E. L. James
2012,2012-11-04,7,REFLECTED IN YOU,Sylvia Day
2012,2012-11-04,8,FIFTY SHADES DARKER,E. L. James
2012,2012-11-04,9,GONE GIRL,Gillian Flynn
2012,2012-11-04,10,NYPD RED,James Patterson and Marshall Karp
2012,2012-11-04,11,THE SECRET KEEPER,Kate Morton
2012,2012-11-04,12,SLEEP NO MORE,Iris Johansen
2012,2012-11-04,13,BARED TO YOU,Sylvia Day
2012,2012-11-04,14,MAD RIVER,John Sandford
2012,2012-11-04,15,DOWN TO YOU,M. Leighton
2012,2012-11-11,1,THE RACKETEER,John Grisham
2012,2012-11-11,2,REFLECTED IN YOU,Sylvia Day
2012,2012-11-11,3,MY KIND OF CHRISTMAS,Robyn Carr
2012,2012-11-11,4,NYPD RED,James Patterson and Marshall Karp
2012,2012-11-11,5,FIFTY SHADES OF GREY,E. L. James
2012,2012-11-11,6,FIFTY SHADES FREED,E. L. James
2012,2012-11-11,7,GONE GIRL,Gillian Flynn
2012,2012-11-11,8,FIFTY SHADES DARKER,E. L. James
2012,2012-11-11,9,THE PANTHER,Nelson DeMille
2012,2012-11-11,10,THE BONE BED,Patricia Cornwell
2012,2012-11-11,11,CLOUD ATLAS,David Mitchell
2012,2012-11-11,12,THE BRIDGE,Karen Kingsbury
2012,2012-11-11,13,BACK TO BLOOD,Tom Wolfe
2012,2012-11-11,14,THE CASUAL VACANCY,J. K. Rowling
2012,2012-11-11,15,THE SECRET OF ELLA AND MICHA,Jessica Sorensen
2012,2012-11-18,1,THE RACKETEER,John Grisham
2012,2012-11-18,2,REFLECTED IN YOU,Sylvia Day
2012,2012-11-18,3,THE SINS OF THE MOTHER,Danielle Steel
2012,2012-11-18,4,GONE GIRL,Gillian Flynn
2012,2012-11-18,5,FIFTY SHADES OF GREY,E. L. James
2012,2012-11-18,6,THE SECRET OF ELLA AND MICHA,Jessica Sorensen
2012,2012-11-18,7,FIFTY SHADES FREED,E. L. James
2012,2012-11-18,8,FIFTY SHADES DARKER,E. L. James
2012,2012-11-18,9,NYPD RED,James Patterson and Marshall Karp
2012,2012-11-18,10,THE PANTHER,Nelson DeMille
2012,2012-11-18,11,THE BONE BED,Patricia Cornwell
2012,2012-11-18,12,CLOUD ATLAS,David Mitchell
2012,2012-11-18,13,ICED,Karen Marie Moning
2012,2012-11-18,14,BLACKBERRY WINTER, Sarah Jio
2012,2012-11-18,15,THE CASUAL VACANCY,J. K. Rowling
2012,2012-11-25,1,THE PERFECT HOPE,Nora Roberts
2012,2012-11-25,2,THE RACKETEER,John Grisham
2012,2012-11-25,3,POSEIDON'S ARROW,Clive Cussler and Dirk Cussler
2012,2012-11-25,4,FIFTY SHADES OF GREY,E. L. James
2012,2012-11-25,5,REFLECTED IN YOU,Sylvia Day
2012,2012-11-25,6,GONE GIRL,Gillian Flynn
2012,2012-11-25,7,FIFTY SHADES FREED,E. L. James
2012,2012-11-25,8,FIFTY SHADES DARKER,E. L. James
2012,2012-11-25,9,FLIGHT BEHAVIOR,Barbara Kingsolver
2012,2012-11-25,10,THE MARRIAGE MISTAKE,Jennifer Probst
2012,2012-11-25,11,THE SECRET OF ELLA AND MICHA,Jessica Sorensen
2012,2012-11-25,12,LIFE OF PI,Yann Martel
2012,2012-11-25,13,THE PANTHER,Nelson DeMille
2012,2012-11-25,14,PLUM ISLAND,Nelson DeMille
2012,2012-11-25,15,NYPD RED,James Patterson and Marshall Karp
2012,2012-12-02,1,THE LAST MAN,Vince Flynn
2012,2012-12-02,2,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2012,2012-12-02,3,THE RACKETEER,John Grisham
2012,2012-12-02,4,THE PERFECT HOPE,Nora Roberts
2012,2012-12-02,5,GONE GIRL,Gillian Flynn
2012,2012-12-02,6,FIFTY SHADES OF GREY,E. L. James
2012,2012-12-02,7,ALL IN,Raine Miller
2012,2012-12-02,8,SWEET TOOTH,Ian McEwan
2012,2012-12-02,9,LIFE OF PI,Yann Martel
2012,2012-12-02,10,FIFTY SHADES FREED,E. L. James
2012,2012-12-02,11,FIFTY SHADES DARKER,E. L. James
2012,2012-12-02,12,REFLECTED IN YOU,Sylvia Day
2012,2012-12-02,13,POSEIDON'S ARROW,Clive Cussler and Dirk Cussler
2012,2012-12-02,14,THE SECRET OF ELLA AND MICHA,Jessica Sorensen
2012,2012-12-02,15,NAKED,Raine Miller
2012,2012-12-09,1,NOTORIOUS NINETEEN,Janet Evanovich
2012,2012-12-09,2,THE FORGOTTEN,David Baldacci
2012,2012-12-09,3,THE LAST MAN,Vince Flynn
2012,2012-12-09,4,THE RACKETEER,John Grisham
2012,2012-12-09,5,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2012,2012-12-09,6,LIFE OF PI,Yann Martel
2012,2012-12-09,7,AGENDA 21,Glenn Beck with Harriet Parke
2012,2012-12-09,8,GONE GIRL,Gillian Flynn
2012,2012-12-09,9,FIFTY SHADES OF GREY,E. L. James
2012,2012-12-09,10,THE PERFECT HOPE,Nora Roberts
2012,2012-12-09,11,FIFTY SHADES FREED,E. L. James
2012,2012-12-09,12,FIFTY SHADES DARKER,E. L. James
2012,2012-12-09,13,REFLECTED IN YOU,Sylvia Day
2012,2012-12-09,14,ALL IN,Raine Miller
2012,2012-12-09,15,THE CASUAL VACANCY,J. K. Rowling
2012,2012-12-16,1,THE BLACK BOX,Michael Connelly
2012,2012-12-16,2,COLD DAYS,Jim Butcher
2012,2012-12-16,3,NOTORIOUS NINETEEN,Janet Evanovich
2012,2012-12-16,4,THE FORGOTTEN,David Baldacci
2012,2012-12-16,5,THE RACKETEER,John Grisham
2012,2012-12-16,6,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2012,2012-12-16,7,GONE GIRL,Gillian Flynn
2012,2012-12-16,8,THE LAST MAN,Vince Flynn
2012,2012-12-16,9,LIFE OF PI,Yann Martel
2012,2012-12-16,10,FIFTY SHADES OF GREY,E. L. James
2012,2012-12-16,11,SHADOW’S CLAIM,Kresley Cole
2012,2012-12-16,12,THE EDGE OF NEVER, J.A. Redmerski
2012,2012-12-16,13,AGENDA 21,Glenn Beck with Harriet Parke
2012,2012-12-16,14,FIFTY SHADES DARKER,E. L. James
2012,2012-12-16,15,THE PERFECT HOPE,Nora Roberts
2012,2012-12-23,1,THREAT VECTOR,Tom Clancy with Mark Greaney
2012,2012-12-23,2,GONE GIRL,Gillian Flynn
2012,2012-12-23,3,THE FORGOTTEN,David Baldacci
2012,2012-12-23,4,THE RACKETEER,John Grisham
2012,2012-12-23,5,PRIVATE LONDON,James Patterson and Mark Pearson
2012,2012-12-23,6,THE BLACK BOX,Michael Connelly
2012,2012-12-23,7,NOTORIOUS NINETEEN,Janet Evanovich
2012,2012-12-23,8,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2012,2012-12-23,9,THE EDGE OF NEVER, J.A. Redmerski
2012,2012-12-23,10,FIFTY SHADES OF GREY,E. L. James
2012,2012-12-23,11,LIFE OF PI,Yann Martel
2012,2012-12-23,12,THE LAST MAN,Vince Flynn
2012,2012-12-23,13,FIFTY SHADES FREED,E. L. James
2012,2012-12-23,14,FIFTY SHADES DARKER,E. L. James
2012,2012-12-23,15,A LEAF ON THE WIND OF ALL HALLOWS,Diana Gabaldon
2012,2012-12-30,1,GONE GIRL,Gillian Flynn
2012,2012-12-30,2,THE RACKETEER,John Grisham
2012,2012-12-30,3,TWO GRAVES,Douglas Preston and Lincoln Child
2012,2012-12-30,4,THE FORGOTTEN,David Baldacci
2012,2012-12-30,5,FIFTY SHADES OF GREY,E. L. James
2012,2012-12-30,6,THREAT VECTOR,Tom Clancy with Mark Greaney
2012,2012-12-30,7,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2012,2012-12-30,8,NOTORIOUS NINETEEN,Janet Evanovich
2012,2012-12-30,9,THE BLACK BOX,Michael Connelly
2012,2012-12-30,10,LIFE OF PI,Yann Martel
2012,2012-12-30,11,THE LAST MAN,Vince Flynn
2012,2012-12-30,12,THE EDGE OF NEVER, J.A. Redmerski
2012,2012-12-30,13,FIFTY SHADES FREED,E. L. James
2012,2012-12-30,14,FIFTY SHADES DARKER,E. L. James
2012,2012-12-30,15,THE TWELVE TRIBES OF HATTIE,Ayana Mathis
2013,2013-01-06,1,GONE GIRL,Gillian Flynn
2013,2013-01-06,2,THE RACKETEER,John Grisham
2013,2013-01-06,3,FIFTY SHADES OF GREY,E. L. James
2013,2013-01-06,4,SAFE HAVEN,Nicholas Sparks
2013,2013-01-06,5,THE FORGOTTEN,David Baldacci
2013,2013-01-06,6,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2013,2013-01-06,7,THREAT VECTOR,Tom Clancy with Mark Greaney
2013,2013-01-06,8,NOTORIOUS NINETEEN,Janet Evanovich
2013,2013-01-06,9,LIFE OF PI,Yann Martel
2013,2013-01-06,10,THE BLACK BOX,Michael Connelly
2013,2013-01-06,11,THE CASUAL VACANCY,J. K. Rowling
2013,2013-01-06,12,FIFTY SHADES DARKER,E. L. James
2013,2013-01-06,13,FIFTY SHADES FREED,E. L. James
2013,2013-01-06,14,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen
2013,2013-01-06,15,THE LAST MAN,Vince Flynn
2013,2013-01-13,1,SAFE HAVEN,Nicholas Sparks
2013,2013-01-13,2,GONE GIRL,Gillian Flynn
2013,2013-01-13,3,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen
2013,2013-01-13,4,FIFTY SHADES OF GREY,E. L. James
2013,2013-01-13,5,HOPELESS,Colleen Hoover
2013,2013-01-13,6,THE RACKETEER,John Grisham
2013,2013-01-13,7,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2013,2013-01-13,8,FIFTY SHADES DARKER,E. L. James
2013,2013-01-13,9,THE FORGOTTEN,David Baldacci
2013,2013-01-13,10,LIFE OF PI,Yann Martel
2013,2013-01-13,11,FIFTY SHADES FREED,E. L. James
2013,2013-01-13,12,NOTORIOUS NINETEEN,Janet Evanovich
2013,2013-01-13,13,THE HOST,Stephenie Meyer
2013,2013-01-13,14,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2013,2013-01-13,15,11/22/63,Stephen King
2013,2013-01-20,1,SAFE HAVEN,Nicholas Sparks
2013,2013-01-20,2,HOPELESS,Colleen Hoover
2013,2013-01-20,3,GONE GIRL,Gillian Flynn
2013,2013-01-20,4,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen
2013,2013-01-20,5,FIFTY SHADES OF GREY,E. L. James
2013,2013-01-20,6,FIFTY SHADES DARKER,E. L. James
2013,2013-01-20,7,FIFTY SHADES FREED,E. L. James
2013,2013-01-20,8,THE FORGOTTEN,David Baldacci
2013,2013-01-20,9,THE RACKETEER,John Grisham
2013,2013-01-20,10,SOMEONE TO LOVE,Addison Moore
2013,2013-01-20,11,SHADES OF GRAY,Maya Banks
2013,2013-01-20,12,SHADOW WOMAN,Linda Howard
2013,2013-01-20,13,PRIVATE LONDON,James Patterson and Mark Pearson
2013,2013-01-20,14,"MERRY CHRISTMAS, ALEX CROSS",James Patterson
2013,2013-01-20,15,EMPIRE AND HONOR,W. E. B. Griffin and William E. Butterworth IV
2013,2013-01-27,1,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson
2013,2013-01-27,2,HOPELESS,Colleen Hoover
2013,2013-01-27,3,GONE GIRL,Gillian Flynn
2013,2013-01-27,4,SAFE HAVEN,Nicholas Sparks
2013,2013-01-27,5,FIFTY SHADES OF GREY,E. L. James
2013,2013-01-27,6,COLLATERAL DAMAGE,Stuart Woods
2013,2013-01-27,7,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen
2013,2013-01-27,8,FIFTY SHADES DARKER,E. L. James
2013,2013-01-27,9,FIFTY SHADES FREED,E. L. James
2013,2013-01-27,10,THE FORGOTTEN,David Baldacci
2013,2013-01-27,11,SOMEONE TO LOVE,Addison Moore
2013,2013-01-27,12,THE RACKETEER,John Grisham
2013,2013-01-27,13,TENTH OF DECEMBER,George Saunders
2013,2013-01-27,14,DREAM EYES,Jayne Ann Krentz
2013,2013-01-27,15,THE HUSBAND LIST,Janet Evanovich and Dorien Kelly
2013,2013-02-03,1,SAFE HAVEN,Nicholas Sparks
2013,2013-02-03,2,HOPELESS,Colleen Hoover
2013,2013-02-03,3,GONE GIRL,Gillian Flynn
2013,2013-02-03,4,THE FIFTH ASSASSIN,Brad Meltzer
2013,2013-02-03,5,FIFTY SHADES OF GREY,E. L. James
2013,2013-02-03,6,SOMEONE TO LOVE,Addison Moore
2013,2013-02-03,7,FIFTY SHADES FREED,E. L. James
2013,2013-02-03,8,FIFTY SHADES DARKER,E. L. James
2013,2013-02-03,9,THE FORGOTTEN,David Baldacci
2013,2013-02-03,10,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson
2013,2013-02-03,11,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen
2013,2013-02-03,12,THE THIRD BULLET,Stephen Hunter
2013,2013-02-03,13,THE RACKETEER,John Grisham
2013,2013-02-03,14,THE DEVIL COLONY,James Rollins
2013,2013-02-03,15,LIFE OF PI,Yann Martel
2013,2013-02-10,1,SAFE HAVEN,Nicholas Sparks
2013,2013-02-10,2,PRIVATE BERLIN,James Patterson and Mark Sullivan
2013,2013-02-10,3,GONE GIRL,Gillian Flynn
2013,2013-02-10,4,HOPELESS,Colleen Hoover
2013,2013-02-10,5,FIFTY SHADES OF GREY,E. L. James
2013,2013-02-10,6,SUSPECT,Robert Crais
2013,2013-02-10,7,EVER AFTER,Kim Harrison
2013,2013-02-10,8,FIFTY SHADES DARKER,E. L. James
2013,2013-02-10,9,FIFTY SHADES FREED,E. L. James
2013,2013-02-10,10,THE FORGOTTEN,David Baldacci
2013,2013-02-10,11,THE RACKETEER,John Grisham
2013,2013-02-10,12,SOMEONE TO LOVE,Addison Moore
2013,2013-02-10,13,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen
2013,2013-02-10,14,THE FIFTH ASSASSIN,Brad Meltzer
2013,2013-02-10,15,BARED TO YOU,Sylvia Day
2013,2013-02-17,1,SAFE HAVEN,Nicholas Sparks
2013,2013-02-17,2,UNTIL THE END OF TIME,Danielle Steel
2013,2013-02-17,3,GONE GIRL,Gillian Flynn
2013,2013-02-17,4,PRIVATE BERLIN,James Patterson and Mark Sullivan
2013,2013-02-17,5,FIFTY SHADES OF GREY,E. L. James
2013,2013-02-17,6,COLLIDE,Gail McHugh
2013,2013-02-17,7,SUSPECT,Robert Crais
2013,2013-02-17,8,HOPELESS,Colleen Hoover
2013,2013-02-17,9,FIFTY SHADES FREED,E. L. James
2013,2013-02-17,10,FIFTY SHADES DARKER,E. L. James
2013,2013-02-17,11,HEARTSONG,Debbie Macomber
2013,2013-02-17,12,THE FORGOTTEN,David Baldacci
2013,2013-02-17,13,TENTH OF DECEMBER,George Saunders
2013,2013-02-17,14,THE SILVER LININGS PLAYBOOK,Matthew Quick
2013,2013-02-17,15,THE FIFTH ASSASSIN,Brad Meltzer
2013,2013-02-24,1,SAFE HAVEN,Nicholas Sparks
2013,2013-02-24,2,TOUCH AND GO,Lisa Gardner
2013,2013-02-24,3,RUSH,Maya Banks
2013,2013-02-24,4,GONE GIRL,Gillian Flynn
2013,2013-02-24,5,FIFTY SHADES OF GREY,E. L. James
2013,2013-02-24,6,PRIVATE BERLIN,James Patterson and Mark Sullivan
2013,2013-02-24,7,THE SILVER LININGS PLAYBOOK,Matthew Quick
2013,2013-02-24,8,FIFTY SHADES FREED,E. L. James
2013,2013-02-24,9,FIFTY SHADES DARKER,E. L. James
2013,2013-02-24,10,SUSPECT,Robert Crais
